voter,question,option
1,1,Mailing list
2,1,Conference sessions / papers
3,1,E-mails / messages to individuals
4,1,E-mails / messages to individuals
5,1,Website blogs
6,1,E-mails / messages to individuals
7,1,Website blogs
8,1,Mailing list
9,1,Twitter
10,1,Twitter
1,2,E-mails / messages to individuals
2,2,Website blogs
3,2,Conference sessions / papers
4,2,Twitter
5,2,Twitter
6,2,Conference sessions / papers
7,2,Conference sessions / papers
8,2,Twitter
9,2,Mailing list
10,2,Conference sessions / papers
1,3,Website blogs
2,3,E-mails / messages to individuals
3,3,Twitter
4,3,
5,3,Conference sessions / papers
6,3,Twitter
7,3,Mailing list
8,3,Conference sessions / papers
9,3,E-mails / messages to individuals
10,3,Mailing list
1,4,Conference sessions / papers
2,4,
3,4,Mailing list
4,4,
5,4,
6,4,Mailing list
7,4,
8,4,E-mails / messages to individuals
9,4,Website blogs
10,4,
1,5,Twitter
2,5,
3,5,
4,5,
5,5,
6,5,
7,5,
8,5,
9,5,
10,5,
